channel,error,precision,recall,f1,tp,tn,fp,fn,context_ood_rate_window,context_ood_rate_point,score_mode,elapsed_seconds
E-5,,0.021437578814627996,0.053125,0.030548068283917342,17.0,6914.0,776.0,303.0,0.9533458411507192,1.0,counterfactual_successor_memory,69.3346939086914
E-6,,0.6770833333333334,1.0,0.8074534161490683,65.0,7920.0,31.0,0.0,0.8750156230471191,0.9908932135728543,counterfactual_successor_memory,75.97119474411011
E-7,,0.7161125319693095,1.0,0.834575260804769,280.0,7635.0,111.0,0.0,0.18112595181625266,0.3694243707949165,counterfactual_successor_memory,94.66724967956543
E-8,,0.3083538083538084,0.40353697749196143,0.34958217270194986,251.0,7063.0,563.0,371.0,0.9911332442609012,1.0,counterfactual_successor_memory,70.5252320766449
E-9,,0.0,0.0,0.0,0.0,5946.0,1722.0,350.0,0.9983756091465701,1.0,counterfactual_successor_memory,76.59295678138733
F-1,,0.10921985815602837,0.77,0.19130434782608696,77.0,7572.0,628.0,23.0,0.5029571514785758,0.9495180722891566,counterfactual_successor_memory,69.73869109153748
F-2,,1.0,0.5314614343707713,0.6940578749723879,1571.0,5386.0,0.0,1385.0,0.811456707097394,0.9967633660992568,counterfactual_successor_memory,68.83172941207886
F-3,,0.0022253129346314327,0.2,0.004401650618982118,8.0,4465.0,3587.0,32.0,1.0,1.0,counterfactual_successor_memory,92.9406054019928
F-4,,0.07496251874062969,0.7142857142857143,0.13568521031207598,50.0,2451.0,617.0,20.0,0.5126480947806596,0.815806246016571,counterfactual_successor_memory,48.826366662979126
F-5,,0.9214285714285714,0.86,0.8896551724137931,129.0,3477.0,11.0,21.0,0.22081148219707425,0.5384826827927433,counterfactual_successor_memory,22.259127140045166
F-7,,0.0,0.0,0.0,0.0,4350.0,0.0,420.0,0.32407991587802315,0.8167714884696017,counterfactual_successor_memory,21.929495096206665
F-8,,0.6832579185520362,0.28171641791044777,0.3989431968295905,151.0,1597.0,70.0,385.0,0.7778793418647166,0.9559691330004539,counterfactual_successor_memory,74.69702887535095
G-1,,0.05422853453841188,0.7,0.1006590772917915,84.0,6600.0,1465.0,36.0,0.9987760097919217,1.0,counterfactual_successor_memory,72.72785234451294
G-2,,0.7857142857142857,0.825,0.8048780487804879,33.0,7028.0,9.0,7.0,0.0,0.0,counterfactual_successor_memory,91.23742032051086
G-3,,0.0819327731092437,0.78,0.1482889733840304,39.0,7136.0,437.0,11.0,0.10212933753943218,0.1058638331365604,counterfactual_successor_memory,85.93688654899597
G-4,,0.1271186440677966,1.0,0.22556390977443608,30.0,7112.0,206.0,0.0,0.14823401063684713,0.40242242787152965,counterfactual_successor_memory,61.188929080963135
G-6,,0.0,0.0,0.0,0.0,7391.0,865.0,100.0,1.0,1.0,counterfactual_successor_memory,72.17119407653809
G-7,,0.42250530785562634,0.7509433962264151,0.5407608695652174,199.0,7208.0,272.0,66.0,0.3868046571798189,0.5455132343447385,counterfactual_successor_memory,58.770472288131714
M-1,,1.0,0.04473684210526316,0.08564231738035265,51.0,853.0,0.0,1089.0,0.33417593528816986,0.8033115905669844,counterfactual_successor_memory,49.62226486206055
M-2,,0.7371744277821626,0.8192982456140351,0.7760697964270876,934.0,520.0,333.0,206.0,0.8614762386248737,0.9799297541394882,counterfactual_successor_memory,65.2818055152893
M-3,,0.0,0.0,0.0,0.0,1593.0,0.0,250.0,0.4310722100656455,0.8773738469886055,counterfactual_successor_memory,45.08397459983826
M-4,,0.0,0.0,0.0,0.0,1504.0,0.0,250.0,0.3887291546866015,0.7006841505131128,counterfactual_successor_memory,76.38038682937622
M-5,,0.17133956386292834,0.18333333333333332,0.17713365539452497,55.0,1453.0,266.0,245.0,0.5229540918163673,0.7870232788509163,counterfactual_successor_memory,74.04840326309204
M-6,,0.0,0.0,0.0,0.0,1511.0,74.0,180.0,0.0,0.0,counterfactual_successor_memory,40.47333526611328
M-7,,0.7692307692307693,1.0,0.8695652173913043,100.0,1742.0,30.0,0.0,0.4448034464189553,0.4577991452991453,counterfactual_successor_memory,37.11731553077698
P-1,,0.8829787234042553,0.5548128342245989,0.6814449917898193,415.0,7418.0,55.0,333.0,0.1924201803558372,0.6079552365892227,counterfactual_successor_memory,69.21637678146362
